id1,rel,id2
abrashinp,KNOWS,zagrebalovm 
zagrebalovm,KNOWS,abrashinp
abrashinp,KNOWS,kozlovam 
kozlovam,KNOWS,abrashinp
abrashinp,KNOWS,belovat 
belovat,KNOWS,abrashinp
abrashinp,KNOWS,kuzovnikova 
kuzovnikova,KNOWS,abrashinp
abrashinp,KNOWS,baturinv 
baturinv,KNOWS,abrashinp
abrashinp,KNOWS,korneva 
korneva,KNOWS,abrashinp
abrashinp,KNOWS,asainovr 
asainovr,KNOWS,abrashinp
egranova,KNOWS,pivkina 
pivkina,KNOWS,egranova
egranova,KNOWS,belovat 
belovat,KNOWS,egranova
egranova,KNOWS,kozlovam 
kozlovam,KNOWS,egranova
buzinv,KNOWS,pivkina
pivkina,KNOWS,buzinv
buzinv,KNOWS,belovat
belovat,KNOWS,buzinv
buzinv,KNOWS,kozlovam
kozlovam,KNOWS,buzinv
pivkina,KNOWS,belovat
belovat,KNOWS,pivkina
pivkina,KNOWS,kozlovam
kozlovam,KNOWS,pivkina
koroleva,KNOWS,umnovk
umnovk,KNOWS,koroleva
koroleva,KNOWS,korneva
korneva,KNOWS,koroleva
pyanzinv,KNOWS,koroleva
koroleva,KNOWS,pyanzinv
pyanzinv,KNOWS,zagrebalovm
zagrebalovm,KNOWS,pyanzinv
pyanzinv,KNOWS,popovd
popovd,KNOWS,pyanzinv
sadykovr,KNOWS,popovd
popovd,KNOWS,sadykovr
sadykovr,KNOWS,zagrebalovm
zagrebalovm,KNOWS,sadykovr
sadykovr,KNOWS,pyanzinv 
pyanzinv,KNOWS,sadykovr
sadykovr,KNOWS,korneva 
korneva,KNOWS,sadykovr
yudakovv,KNOWS,asainovr 
asainovr,KNOWS,yudakovv
